BNA EWR KBNA KEWR
BNA IAD KBNA KIAD
BNA ORD KBNA KORD
BNA YYZ KBNA CYYZ
BNE SIN YBBN WSSS
BOD FRA LFBD EDDF
BOD MUC LFBD EDDM
BOD ZRH LFBD LSZH
BOG BAQ SKBO SKBQ
BOG BGA SKBO SKBG
BOG CLO SKBO SKCL
BOG CTG SKBO SKCG
BOG FRA SKBO EDDF
BOG LHR SKBO EGLL
BOG MDE SKBO SKRG
BOG PEI SKBO SKPE
BOG PTY SKBO MPTO
BOI DEN KBOI KDEN
BOI ORD KBOI KORD
BOM AMD VABB VAAH
BOM BLR VABB VOBL
BOM CCU VABB VECC
BOM COK VABB VOCI
BOM DEL VABB VIDP
BOM FRA VABB EDDF
BOM GOI VABB VAGO
BOM HYD VABB VOHS
BOM MAA VABB VOMM
BOM MUC VABB EDDM
BOM TRV VABB VOTV
BOM ZRH VABB LSZH
BOO OSL ENBO ENGM
BOS EWR KBOS KEWR
BOS FRA KBOS EDDF
BOS IAD KBOS KIAD
BOS LHR KBOS EGLL
BOS MUC KBOS EDDM
BOS ZRH KBOS LSZH
BRE FRA EDDW EDDF
BRE MUC EDDW EDDM
BRI FRA LIBD EDDF
BRI MUC LIBD EDDM
BRI VIE LIBD LOWW
BRI ZRH LIBD LSZH
BRO IAH KBRO KIAH
BRS FRA EGGD EDDF
BRS ZRH EGGD LSZH
BRU ABJ EBBR DIAP
BRU BER EBBR EDDB
BRU BHX EBBR EGBB
BRU BJL EBBR GBYD
BRU BRU EBBR EBBR
BRU CKY EBBR GUCY
BRU EDI EBBR EGPH
BRU EWR EBBR KEWR
BRU FIH EBBR FZAA
BRU FRA EBBR EDDF
BRU GVA EBBR LSGG
BRU HAM EBBR EDDH
BRU IAD EBBR KIAD
BRU JFK EBBR KJFK
BRU LFW EBBR DXXX
BRU LHR EBBR EGLL
BRU MAD EBBR LEMD
BRU MUC EBBR EDDM
BRU ORD EBBR KORD
BRU VIE EBBR LOWW
BRU YUL EBBR CYUL
BRU YYZ EBBR CYYZ
BRU ZRH EBBR LSZH
BSB GIG SBBR SBGL
BSB GRU SBBR SBGR
BSL FRA LFSB EDDF
BSL MUC LFSB EDDM
BSL VIE LFSB LOWW
BTR IAH KBTR KIAH
BUD FRA LHBP EDDF
BUD MUC LHBP EDDM
BUD VIE LHBP LOWW
BUD ZRH LHBP LSZH
BUF EWR KBUF KEWR
BUF IAD KBUF KIAD
BWN SIN WBSB WSSS
BZN DEN KBZN KDEN
BZN ORD KBZN KORD
CAE IAD KCAE KIAD
CAE ORD KCAE KORD
CAG FRA LIEE EDDF
CAG MUC LIEE EDDM
CAG VIE LIEE LOWW
CAG ZRH LIEE LSZH
CAI ASW HECA HESN
CAI FRA HECA EDDF
CAI GVA HECA LSGG
CAI HRG HECA HEGN
CAI LXR HECA HELX
CAI MUC HECA EDDM
CAI VIE HECA LOWW
CAI ZRH HECA LSZH
CAK ORD KCAK KORD
CAN PEK ZGGG ZBAA
CCU BOM VECC VABB
CCU DEL VECC VIDP
CDG EWR LFPG KEWR
CDG FRA LFPG EDDF
CDG GVA LFPG LSGG
CDG IAD LFPG KIAD
CDG MUC LFPG EDDM
CDG ORD LFPG KORD
CDG SFO LFPG KSFO
CDG VIE LFPG LOWW
CDG YUL LFPG CYUL
CDG YYZ LFPG CYYZ
CDG ZRH LFPG LSZH
CFU FRA LGKR EDDF
CFU GVA LGKR LSGG
CFU MUC LGKR EDDM
CFU VIE LGKR LOWW
CFU ZRH LGKR LSZH
CGB GRU SBCY SBGR
CGK SIN WIII WSSS
CGN KLU EDDK LOWK
CGN MUC EDDK EDDM
CGN SZG EDDK LOWS
CGN VIE EDDK LOWW
CGN ZRH EDDK LSZH
CGQ PEK ZYCC ZBAA
CHC SIN NZCH WSSS
CHQ FRA LGSA EDDF
CHQ VIE LGSA LOWW
CHQ ZRH LGSA LSZH
CHS EWR KCHS KEWR
CHS IAD KCHS KIAD
CHS ORD KCHS KORD
CIA MUC LIRA EDDM
CID ORD KCID KORD
CKG PEK ZUCK ZBAA
CKY BRU GUCY EBBR
CLE EWR KCLE KEWR
CLE IAD KCLE KIAD
CLE ORD KCLE KORD
CLE YYZ KCLE CYYZ
CLJ FRA LRCL EDDF
CLJ MUC LRCL EDDM
CLO BOG SKCL SKBO
CLO PTY SKCL MPTO
CLT IAD KCLT KIAD
CLT MUC KCLT EDDM
CLT ORD KCLT KORD
CMB ZRH VCBI LSZH
CMH EWR KCMH KEWR
CMH IAD KCMH KIAD
CMH ORD KCMH KORD
CMN FRA GMMN EDDF
CNF GRU SBCF SBGR
CNS SIN YBCS WSSS
CNX BKK VTCC VTBS
COK BOM VOCI VABB
COK DEL VOCI VIDP
COS DEN KCOS KDEN
COS ORD KCOS KORD
CPH AAL EKCH EKYT
CPH AAR EKCH EKAH
CPH AES EKCH ENAL
CPH BGO EKCH ENBR
CPH CPH EKCH EKCH
CPH FRA EKCH EDDF
CPH GOT EKCH ESGG
CPH GVA EKCH LSGG
CPH HEL EKCH EFHK
CPH INN EKCH LOWI
CPH KRS EKCH ENCN
CPH MUC EKCH EDDM
CPH OSL EKCH ENGM
CPH SVG EKCH ENZV
CPH TRD EKCH ENVA
CPH VIE EKCH LOWW
CPH YUL EKCH CYUL
CPH YYZ EKCH CYYZ
CPH ZRH EKCH LSZH
CPT FRA FACT EDDF
CPT MUC FACT EDDM
CPT ZRH FACT LSZH
CRP IAH KCRP KIAH
CTA FRA LICC EDDF
CTA GVA LICC LSGG
CTA MUC LICC EDDM
CTA VIE LICC LOWW
CTA ZRH LICC LSZH
CTG BOG SKCG SKBO
CTG PTY SKCG MPTO
CTS HND RJCC RJTT
CTU FRA ZUUU EDDF
CTU PEK ZUUU ZBAA
CTU PVG ZUUU ZSPD
CUN FRA MMUN EDDF
CUN IAH MMUN KIAH
CUN VIE MMUN LOWW
CUN ZRH MMUN LSZH
CUR PTY TNCC MPTO
CVG EWR KCVG KEWR
CVG IAD KCVG KIAD
CVG ORD KCVG KORD
CWB GRU SBCT SBGR
DAD SIN VVDN WSSS
DAR ADD HTDA HAAB
DAY IAD KDAY KIAD
DAY ORD KDAY KORD
DBV EWR LDDU KEWR
DBV FRA LDDU EDDF
DBV MUC LDDU EDDM
DBV VIE LDDU LOWW
DBV ZAG LDDU LDZA
DBV ZRH LDDU LSZH
DEB MUC LHDC EDDM
DEL AMD VIDP VAAH
DEL ATQ VIDP VIAR
DEL BBI VIDP VEBS
DEL BLR VIDP VOBL
DEL BOM VIDP VABB
DEL CCU VIDP VECC
DEL COK VIDP VOCI
DEL FRA VIDP EDDF
DEL GOI VIDP VAGO
DEL HYD VIDP VOHS
DEL MAA VIDP VOMM
DEL MUC VIDP EDDM
DEL PNQ VIDP VAPO
DEL TRV VIDP VOTV
DEL ZRH VIDP LSZH
DEN ABQ KDEN KABQ
DEN ANC KDEN PANC
DEN ASE KDEN KASE
DEN AUS KDEN KAUS
DEN BIL KDEN KBIL
DEN BOI KDEN KBOI
DEN BZN KDEN KBZN
DEN COS KDEN KCOS
DEN DEN KDEN KDEN
DEN DRO KDEN KDRO
DEN ELP KDEN KELP
DEN EUG KDEN KEUG
DEN FAT KDEN KFAT
DEN FRA KDEN EDDF
DEN FSD KDEN KFSD
DEN GEG KDEN KGEG
DEN GJT KDEN KGJT
DEN IAD KDEN KIAD
DEN ICT KDEN KICT
DEN JAC KDEN KJAC
DEN LAS KDEN KLAS
DEN LAX KDEN KLAX
DEN LBB KDEN KLBB
DEN LHR KDEN EGLL
DEN LNK KDEN KLNK
DEN MCI KDEN KMCI
DEN MUC KDEN EDDM
