Code,CodePays,CodeVille,Nom,Type,Latitude,Longitude,FuseauHoraire,DecalageUTC
GBB,AZ,GBB,Gara Djebilet,Airport,40.8092,47.725,Asia/Baku,+04:00
GBC,PG,GBC,Gasuke,Airport,-6.1,141.7333,Pacific/Port_Moresby,+10:00
GBD,US,GBD,Great Bend,Airport,38.35,-98.8667,America/Chicago,-06:00
GBE,BW,GBE,Gaborone,Airport,-24.5553,25.9183,Africa/Gaborone,+02:00
GBF,PG,GBF,Negarbo,Airport,-6.5833,144.6667,Pacific/Port_Moresby,+10:00
GBG,US,GBG,Galesburg,Airport,40.9333,-90.4333,America/Chicago,-06:00
GBH,US,GBH,Galbraith,Airport,68.4667,-149.4833,America/Anchorage,-09:00
GBI,IN,GBI,Gulbarga Kalaburgi Airport,Airport,17.3078,76.9586,Asia/Kolkata,+05:30
GBJ,GP,GBJ,Marie Galante,Airport,15.8689,-61.27,America/Guadeloupe,-04:00
GBK,SL,GBK,Gbangbatok,Airport,7.8003,-12.3667,Africa/Freetown,+00:00
GBL,AU,GBL,Goulburn Island,Airport,-11.6667,133.4167,Australia/Darwin,+09:30
GBM,SO,GBM,Garbaharey,Airport,3.3333,42.1833,Africa/Mogadishu,+03:00
GBN,IT,GBN,San Giovanni Rotondo,Airport,41.7,15.7333,Europe/Rome,+01:00
GBP,AU,GBP,Gamboola,Airport,-16.55,143.6667,Australia/Brisbane,+10:00
GBR,US,GBR,Great Barrington,Airport,42.2,-73.3667,America/New_York,-05:00
GBS,NZ,GBS,Port Fitzroy,Airport,-36.1667,175.35,Pacific/Auckland,+12:00
GBU,SD,GBU,Khashm El Girba,Airport,14.9264,35.8889,Africa/Khartoum,+02:00
GBV,AU,GBV,Gibb River,Airport,-16.3333,126.3667,Australia/Perth,+08:00
GBZ,NZ,GBZ,Great Barrier,Airport,-36.1667,175.3333,Pacific/Auckland,+12:00
GCA,CO,GCA,Guacamaya,Airport,2.2833,-74.95,America/Bogota,-05:00
GCC,US,GCC,Gillette,Airport,44.3475,-105.5417,America/Denver,-07:00
GCI,GB,GCI,Guernesey,Airport,49.4347,-2.6019,Europe/London,+00:00
GCJ,ZA,JNB,Johannesburg - Grand Central,Airport,-25.9864,28.1403,Africa/Johannesburg,+02:00
GCK,US,GCK,Garden City,Airport,37.9275,-100.7244,America/Chicago,-06:00
GCM,KY,GCM,Grand Cayman Island,Airport,19.2928,-81.3578,America/Cayman,-05:00
GCN,US,GCN,Grand Canyon National Park,Airport,35.9525,-112.1469,America/Phoenix,-07:00
GCT,US,GCN,Grand Canyon Bar Ten Ranch,Airport,36.2581,-113.2311,America/Phoenix,-07:00
GCY,US,GCY,Greenville Municipal. Tennessee,Airport,36.1833,-82.8167,America/New_York,-05:00
GDA,CF,GDA,Gounda,Airport,9.3333,21.1833,Africa/Bangui,+01:00
GDC,US,GSP,Greenville. South Carolina - Donaldson Center,Airport,34.8481,-82.3486,America/New_York,-05:00
GDD,AU,GDD,Gordon Downs,Airport,-18.8333,128.5333,Australia/Perth,+08:00
GDE,ET,GDE,Gode,Airport,5.935,43.5786,Africa/Addis_Ababa,+03:00
GDH,US,GDH,Golden Horn,Airport,59.7167,-158.1667,America/Anchorage,-09:00
GDI,CF,GDI,Gordil,Airport,9.7333,21.5833,Africa/Bangui,+01:00
GDJ,CD,GDJ,Gandajika,Airport,-6.7333,23.95,Africa/Kinshasa,+01:00
GDL,MX,GDL,Guadalajara,Airport,20.5217,-103.3111,America/Mexico_City,-06:00
GDM,US,GDM,Gardner,Airport,42.5667,-72.0,America/New_York,-05:00
GDN,PL,GDN,Gdansk,Airport,54.3775,18.4661,Europe/Warsaw,+01:00
GDO,VE,GDO,Guasdualito,Airport,7.2111,-70.7564,America/Caracas,-04:00
GDP,BR,GDP,Guadalupe,Airport,-6.7819,-43.5817,America/Araguaina,-03:00
GDQ,ET,GDQ,Gondar,Airport,12.52,37.4342,Africa/Addis_Ababa,+03:00
GDT,TC,GDT,Grand Turk,Airport,21.4453,-71.1453,America/Grand_Turk,-05:00
GDV,US,GDV,Glendive,Airport,47.1406,-104.8094,America/Denver,-07:00
GDW,US,GDW,Gladwin,Airport,43.9833,-84.4833,America/New_York,-05:00
GDX,RU,GDX,Magadan,Airport,59.9111,150.7206,Asia/Srednekolymsk,+11:00
GEA,NC,NOU,Noumea - Magenta,Airport,-22.2583,166.4728,Pacific/Noumea,+11:00
GEB,ID,GEB,Gebe,Airport,-0.0833,129.3333,Asia/Jayapura,+09:00
GEC,CY,GEC,Gecitkale,Airport,35.2361,33.72,Asia/Nicosia,+02:00
GED,US,GED,Georgetown. Delaware - Sussex County,Airport,38.6833,-75.3667,America/New_York,-05:00
GEF,SB,GEF,Geva,Airport,-7.5778,156.5972,Pacific/Guadalcanal,+11:00
GEG,US,GEG,Spokane,Airport,47.6172,-117.54,America/Los_Angeles,-08:00
GEI,PG,GEI,Green Islands,Airport,-4.5,154.1667,Pacific/Port_Moresby,+10:00
GEK,US,GEK,Ganes Creek,Airport,62.9833,-156.5,America/Anchorage,-09:00
GEL,BR,GEL,Santo Angelo,Airport,-28.2828,-54.1703,America/Araguaina,-03:00
GEO,GY,GEO,Georgetown - Timehri,Airport,6.4986,-58.2542,America/Guyana,-04:00
GER,CU,GER,Nueva Gerona,Airport,21.8347,-82.7839,America/Havana,-05:00
GES,PH,GES,General Santos,Airport,6.1064,125.2353,Asia/Manila,+08:00
GET,AU,GET,Geraldton,Airport,-28.7967,114.7064,Australia/Perth,+08:00
GEV,SE,GEV,Gallivare,Airport,67.1325,20.8147,Europe/Stockholm,+01:00
GEW,PG,GEW,Gewoya,Airport,-9.1833,148.4833,Pacific/Port_Moresby,+10:00
GEX,AU,GEX,Geelong,Airport,-38.1333,144.35,Australia/Sydney,+10:00
GEY,US,GEY,Greybull,Airport,44.5167,-108.0833,America/Denver,-07:00
GFA,US,GTF,Great Falls Malmstrom Afb Heliport,Airport,47.5,-111.1667,America/Denver,-07:00
GFB,US,GFB,Togiak Fish,Airport,59.05,-160.2944,America/Anchorage,-09:00
GFD,US,GFD,Greenfield,Airport,39.7833,-85.7667,America/New_York,-05:00
GFE,AU,GFE,Grenfell,Airport,-33.9,148.1667,Australia/Sydney,+10:00
GFF,AU,GFF,Griffith,Airport,-34.2539,146.0617,Australia/Sydney,+10:00
GFK,US,GFK,Grand Forks,Airport,47.9492,-97.1761,America/Chicago,-06:00
GFL,US,GFL,Glens Falls,Airport,43.3389,-73.6089,America/New_York,-05:00
GFN,AU,GFN,Grafton,Airport,-29.7594,153.03,Australia/Sydney,+10:00
GFO,GY,GFO,Bartica,Airport,6.4167,-58.5833,America/Guyana,-04:00
GFR,FR,GFR,Granville,Airport,48.8828,-1.5639,Europe/Paris,+01:00
GFY,Unk,GFY,Grootfontein,Airport,-19.6,18.1333,Africa/Windhoek,+02:00
GGC,AO,GGC,Lumbala,Airport,-14.1167,21.4333,Africa/Luanda,+01:00
GGD,AU,GGD,Gregory Downs,Airport,-18.7,139.25,Australia/Brisbane,+10:00
GGE,US,GGE,Georgetown. South Carolina,Airport,33.3167,-79.3167,America/New_York,-05:00
GGF,BR,GGF,Almeirim,Airport,-1.4792,-52.5781,America/Araguaina,-03:00
GGG,US,GGG,Longview,Airport,32.3839,-94.7114,America/Chicago,-06:00
GGL,CO,GGL,Gilgal,Airport,8.3333,-77.0833,America/Bogota,-05:00
GGN,CI,GGN,Gagnoa,Airport,6.1333,-5.9333,Africa/Abidjan,+00:00
GGO,CI,GGO,Guiglo,Airport,6.55,-7.4833,Africa/Abidjan,+00:00
GGR,SO,GGR,Garoe,Airport,8.4581,48.5675,Africa/Mogadishu,+03:00
GGS,AR,GGS,Gobernador Gregores,Airport,-48.7819,-70.1556,America/Argentina/Buenos_Aires,-03:00
GGT,BS,GGT,George Town - Exuma International,Airport,23.5625,-75.8781,America/Nassau,-05:00
GGW,US,GGW,Glasgow. Montana International,Airport,48.2125,-106.6147,America/Denver,-07:00
GHA,DZ,GHA,Ghardaia,Airport,32.3842,3.7942,Africa/Algiers,+01:00
GHB,BS,GHB,Governors Harbour,Airport,25.2847,-76.3311,America/Nassau,-05:00
GHC,BS,GHC,Great Harbour,Airport,25.7503,-77.85,America/Nassau,-05:00
GHD,ET,GHD,Ghimbi,Airport,9.1667,35.8167,Africa/Addis_Ababa,+03:00
GHE,PA,GHE,Garachine,Airport,8.0647,-78.3672,America/Panama,-05:00
GHK,CA,GHK,Gush Katif,Airport,63.4347,-109.2003,America/Whitehorse,-07:00
GHM,US,GHM,Centerville,Airport,35.7833,-87.4667,America/Chicago,-06:00
GHN,CN,GHN,Guanghan,Airport,30.9486,104.3297,Asia/Shanghai,+08:00
GHT,LY,GHT,Ghat,Airport,25.1456,10.1428,Africa/Tripoli,+02:00
GHU,AR,GHU,Gualeguaychu,Airport,-33.0167,-58.5833,America/Argentina/Buenos_Aires,-03:00
GIB,GI,GIB,Gibraltar,Airport,36.1511,-5.3497,Europe/Gibraltar,+01:00
GIC,AU,GIC,Boigu Island,Airport,-9.2331,142.2175,Australia/Brisbane,+10:00
GID,BI,GID,Gitega,Airport,-3.4167,29.9167,Africa/Bujumbura,+02:00
GIF,US,GIF,Winter Haven,Airport,28.0667,-81.75,America/New_York,-05:00
GIG,BR,RIO,Rio De Janeiro Galeão,Airport,-22.8125,-43.2483,America/Sao_Paulo,-03:00
GII,GN,GII,Siguiri,Airport,11.4,-9.1833,Africa/Conakry,+00:00
GIL,PK,GIL,Gilgit,Airport,35.9189,74.3336,Asia/Karachi,+05:00
GIM,GA,GIM,Miele Mimbale,Airport,-0.0167,11.4,Africa/Libreville,+01:00
GIR,CO,GIR,Girardot,Airport,4.2833,-74.8,America/Bogota,-05:00
GIS,NZ,GIS,Gisborne,Airport,-38.6639,177.9769,Pacific/Auckland,+12:00
GIT,TZ,GIT,Geita,Airport,-2.8667,32.1667,Africa/Dar_es_Salaam,+03:00
GIY,ZA,GIY,Giyani,Airport,-23.2833,30.6667,Africa/Johannesburg,+02:00
GIZ,SA,GIZ,Jazan,Airport,16.9011,42.5858,Asia/Riyadh,+03:00
GJA,HN,GJA,Guanaja,Airport,16.4439,-85.9039,America/Tegucigalpa,-06:00
GJL,DZ,GJL,Jijel,Airport,36.795,5.8736,Africa/Algiers,+01:00
GJM,BR,GJM,Guajara-Mirim,Airport,-10.8333,-65.3333,America/Porto_Velho,-04:00
GJR,IS,GJR,Gjogur,Airport,65.9953,-21.3269,Atlantic/Reykjavik,+00:00
GJT,US,GJT,Grand Junction,Airport,39.1233,-108.5258,America/Denver,-07:00
GKA,PG,GKA,Goroka,Airport,-6.0817,145.3919,Pacific/Port_Moresby,+10:00
GKE,DE,GKE,Geilenkirchen,Airport,50.9608,6.0425,Europe/Berlin,+01:00
GKH,NP,GKH,Gorkha,Airport,28.0386,84.4667,Asia/Kathmandu,+05:45
GKL,AU,GKL,Great Keppel Island,Airport,-23.1833,150.95,Australia/Brisbane,+10:00
GKN,US,GKN,Gulkana,Airport,62.1567,-145.4547,America/Anchorage,-09:00
GKO,GA,GKO,Kongo-Boumba,Airport,-0.0833,11.4667,Africa/Libreville,+01:00
GKT,US,GKT,Gatlinburg,Airport,35.85,-83.5167,America/New_York,-05:00
GLA,GB,GLA,Glasgow,Airport,55.8719,-4.4333,Europe/London,+00:00
GLC,ET,GLC,Geladi,Airport,6.9667,46.4167,Africa/Addis_Ababa,+03:00
GLD,US,GLD,Goodland,Airport,39.3667,-101.7,America/Denver,-07:00
GLE,US,GLE,Gainesville. Texas - Municipal,Airport,33.6167,-97.1167,America/Chicago,-06:00
GLF,CR,GLF,Golfito,Airport,8.6533,-83.1814,America/Costa_Rica,-06:00
GLG,AU,GLG,Glengyle,Airport,-24.7667,139.5833,Australia/Brisbane,+10:00
GLH,US,GLH,Greenville. Mississippi,Airport,33.4772,-90.985,America/Chicago,-06:00
GLI,AU,GLI,Glen Innes,Airport,-29.6833,151.7,Australia/Sydney,+10:00
GLK,SO,GLK,Galcaio,Airport,6.7814,47.4544,Africa/Mogadishu,+03:00
GLL,NO,GLL,Gol,Airport,60.7833,9.05,Europe/Oslo,+01:00
GLM,AU,GLM,Glenormiston,Airport,-22.2833,138.3167,Australia/Brisbane,+10:00
GLN,MA,GLN,Goulimime,Airport,29.0267,-10.0503,Africa/Casablanca,+01:00
GLO,GB,GLO,Gloucester,Airport,51.8939,-2.1669,Europe/London,+00:00
GLP,PG,GLP,Gulgubip,Airport,-5.2833,141.5167,Pacific/Port_Moresby,+10:00
GLQ,US,GLQ,Glenallen,Airport,62.1167,-145.55,America/Anchorage,-09:00
GLR,US,GLR,Gaylord,Airport,45.0167,-84.7,America/New_York,-05:00
GLS,US,GLS,Galveston,Airport,29.2667,-94.8667,America/Chicago,-06:00
GLT,AU,GLT,Gladstone,Airport,-23.8697,151.2228,Australia/Brisbane,+10:00
GLV,US,GLV,Golovin,Airport,64.5481,-163.0119,America/Anchorage,-09:00
GLW,US,GLW,Glasgow. Kentucky,Airport,37.0333,-85.95,America/Chicago,-06:00
GLX,ID,GLX,Galela,Airport,1.8378,127.7858,Asia/Jayapura,+09:00
GLY,AU,GLY,Goldsworthy,Airport,-20.0833,119.6667,Australia/Perth,+08:00
GMA,CD,GMA,Gemena,Airport,3.2353,19.7714,Africa/Kinshasa,+01:00
GMB,ET,GMB,Gambela,Airport,8.1289,34.5631,Africa/Addis_Ababa,+03:00
GMC,CO,GMC,Guerima,Airport,3.6333,-71.1667,America/Bogota,-05:00
GME,BY,GME,Gomel,Airport,52.5269,31.0167,Europe/Minsk,+03:00
GMI,PG,GMI,Gasmata,Airport,-6.3,150.3333,Pacific/Port_Moresby,+10:00
GMM,CG,GMM,Gamboma,Airport,-1.9333,15.8667,Africa/Brazzaville,+01:00
GMN,NZ,GMN,Greymouth,Airport,-42.4667,171.1833,Pacific/Auckland,+12:00
GMP,KR,SEL,Seoul - Gimpo International,Airport,37.5583,126.7906,Asia/Seoul,+09:00
GMR,PF,GMR,Gambier Island,Airport,-23.08,-134.8903,Pacific/Gambier,-09:00
GMS,BR,GMS,Guimaraes Antonio Guerreiro,Airport,-2.1333,-44.6,America/Araguaina,-03:00
GMT,US,GMT,Granite Mountain,Airport,65.4,-161.2833,America/Anchorage,-09:00
GMU,US,GSP,Greenville. South Carolina - Downtown,Airport,34.8694,-82.4167,America/New_York,-05:00
GMY,DE,GMY,Rheindahlen,Airport,51.1833,6.3333,Europe/Berlin,+01:00
GNA,BY,GNA,Grodno,Airport,53.6056,24.0539,Europe/Minsk,+03:00
GNB,FR,LYS,Grenoble,Airport,45.3631,5.3328,Europe/Paris,+01:00
GND,GD,GND,Grenada,Airport,12.0042,-61.7861,America/Grenada,-04:00
GNE,BE,GNE,Ghent,Off-Line Point,51.05,3.7167,Europe/Brussels,+01:00
GNG,US,GNG,Gooding,Airport,42.9167,-114.7833,America/Denver,-07:00
GNI,TW,GNI,Green Island,Airport,22.6742,121.4661,Asia/Taipei,+08:00
GNJ,AZ,GNJ,Ganja,Airport,40.735,46.3175,Asia/Baku,+04:00
GNM,BR,GNM,Guanambi,Airport,-14.2167,-42.7833,America/Araguaina,-03:00
GNN,ET,GNN,Ghinnir,Airport,7.15,40.7167,Africa/Addis_Ababa,+03:00
GNR,AR,GNR,General Roca,Airport,-39.0333,-67.5833,America/Argentina/Buenos_Aires,-03:00
GNS,ID,GNS,Gunungsitoli,Airport,1.1669,97.7044,Asia/Pontianak,+07:00
GNT,US,GNT,Grants,Airport,35.15,-107.8667,America/Denver,-07:00
GNU,US,GNU,Goodnews Bay,Airport,59.1178,-161.5761,America/Anchorage,-09:00
GNV,US,GNV,Gainesville,Airport,29.69,-82.2717,America/New_York,-05:00
GNY,TR,SFQ,Sanliurfa,Airport,37.0944,38.8469,Europe/Istanbul,+03:00
GNZ,BW,GNZ,Ghanzi,Airport,-21.7,21.6667,Africa/Gaborone,+02:00
GOA,IT,GOA,Genes,Airport,44.4133,8.8375,Europe/Rome,+01:00
GOB,ET,GOB,Goba,Airport,7.1189,40.045,Africa/Addis_Ababa,+03:00
GOC,PG,GOC,Gora,Airport,-8.4167,147.6667,Pacific/Port_Moresby,+10:00
GOE,PG,GOE,Gonalia,Airport,-5.3833,151.8667,Pacific/Port_Moresby,+10:00
GOF,US,SJT,San Angelo Goodfellow Afb,Airport,31.4167,-100.4,America/Chicago,-06:00
GOH,GL,GOH,Nuuk,Airport,64.1908,-51.6781,America/Godthab,-03:00
GOI,IN,GOI,Goa,Airport,15.3808,73.8314,Asia/Kolkata,+05:30
GOJ,RU,GOJ,Nishnij Nowgorod,Airport,56.23,43.7842,Europe/Moscow,+03:00
GOK,US,GOK,Guthrie,Airport,35.8833,-97.4167,America/Chicago,-06:00
GOL,US,GOL,Gold Beach,Airport,42.4167,-124.4167,America/Los_Angeles,-08:00
GON,US,GON,New London/Groton,Airport,41.3297,-72.0439,America/New_York,-05:00
GOO,AU,GOO,Goondiwindi,Airport,-28.5167,150.3167,Australia/Brisbane,+10:00
GOP,IN,GOP,Gorakhpur,Airport,26.7411,83.45,Asia/Kolkata,+05:30
GOQ,CN,GOQ,Golmud,Airport,36.4006,94.7883,Asia/Shanghai,+08:00
GOR,ET,GOR,Gore,Airport,8.1667,35.55,Africa/Addis_Ababa,+03:00
GOS,AU,GOS,Gosford,Airport,-33.4333,151.35,Australia/Sydney,+10:00
GOT,SE,GOT,Göteborg,Airport,57.6628,12.2797,Europe/Stockholm,+01:00
GOU,CM,GOU,Garoua,Airport,9.3358,13.37,Africa/Douala,+01:00
GOV,AU,GOV,Gove,Airport,-12.2694,136.8183,Australia/Darwin,+09:30
